State,Date,Forecast,BestModel
Indiana,2023-12-06,217757839.19026867,SARIMA
Indiana,2023-12-07,217620890.66531065,SARIMA
Indiana,2023-12-08,217486145.36009073,SARIMA
Indiana,2023-12-09,217352782.23563346,SARIMA
Indiana,2023-12-10,217220286.21654364,SARIMA
Indiana,2023-12-11,217092520.266916,SARIMA
Indiana,2023-12-12,216951653.92574,SARIMA
Indiana,2023-12-13,216813251.263951,SARIMA
Indiana,2023-12-14,216676171.55450016,SARIMA
Indiana,2023-12-15,216539925.54222384,SARIMA
Indiana,2023-12-16,216404202.54641137,SARIMA
Indiana,2023-12-17,216268807.66280776,SARIMA
Indiana,2023-12-18,216139979.57464796,SARIMA
Indiana,2023-12-19,215997801.67548317,SARIMA
Indiana,2023-12-20,215858977.55057654,SARIMA
Indiana,2023-12-21,215722012.96383733,SARIMA
Indiana,2023-12-22,215586219.06642118,SARIMA
Indiana,2023-12-23,215451159.5960953,SARIMA
Indiana,2023-12-24,215316560.86555767,SARIMA
Indiana,2023-12-25,215188029.63982597,SARIMA
Indiana,2023-12-26,215046210.78824964,SARIMA
Indiana,2023-12-27,214907504.42000148,SARIMA
Indiana,2023-12-28,214770512.05883917,SARIMA
Indiana,2023-12-29,214634598.99031776,SARIMA
Indiana,2023-12-30,214499363.01155716,SARIMA
Indiana,2023-12-31,214364551.80224907,SARIMA
Indiana,2024-01-01,214235941.54152843,SARIMA
Indiana,2024-01-02,214094026.8233191,SARIMA
Indiana,2024-01-03,213955289.10272563,SARIMA
Indiana,2024-01-04,213818304.29738164,SARIMA
Indiana,2024-01-05,213682423.21989787,SARIMA
Indiana,2024-01-06,213547234.56150836,SARIMA
Indiana,2024-01-07,213412480.28936517,SARIMA
Indiana,2024-01-08,213283891.21473974,SARIMA
Indiana,2024-01-09,213142002.1838999,SARIMA
Indiana,2024-01-10,213003272.86755,SARIMA
Indiana,2024-01-11,212866286.04300162,SARIMA
Indiana,2024-01-12,212730396.40015084,SARIMA
Indiana,2024-01-13,212595195.06968638,SARIMA
Indiana,2024-01-14,212460425.549142,SARIMA
Indiana,2024-01-15,212331830.80092838,SARIMA
Indiana,2024-01-16,212189934.89066386,SARIMA
Indiana,2024-01-17,212051203.32367444,SARIMA
Indiana,2024-01-18,211914217.04010153,SARIMA
Indiana,2024-01-19,211778329.69142407,SARIMA
Indiana,2024-01-20,211643131.7549943,SARIMA
Indiana,2024-01-21,211508366.3184781,SARIMA
Indiana,2024-01-22,211379773.0898506,SARIMA
Indiana,2024-01-23,211237879.02212203,SARIMA
Indiana,2024-01-24,211099148.0579328,SARIMA
Indiana,2024-01-25,210962161.62947673,SARIMA
Indiana,2024-01-26,210826273.66635394,SARIMA
Indiana,2024-01-27,210691074.82090095,SARIMA
Indiana,2024-01-28,210556308.29055932,SARIMA
Iowa,2023-12-04,115572365.68478596,SARIMA
